"","y.nrm","y.str","YR","SSI","TOL","STI","MpSTI","MsSTI","ATI","YI","YSI","MP","GMP","HARM","GM","SDI","SSPI","RDI","DI"
"1",669.266666666667,309.315555555556,0.53782913304778,0.922317560754864,359.951111111111,0.46217086695222,0.416872066701627,0.468634887376203,374.817379866579,1.01398621351149,0.46217086695222,489.291111111111,454.988561191174,423.090847378596,575.118632571502,0.53782913304778,24.255741572862,1.12416955898277,0.468634887376203
"2",741.465555555556,323.880555555556,0.563188669886516,0.999450468456184,417.585,0.436811330113484,0.436501670006265,0.463776842134464,468.337077945351,1.06173262954048,0.436811330113484,532.673055555555,490.047218192943,450.832407522809,575.083578334092,0.563188669886516,28.1394709782601,1.06248583683038,0.463776842134464
"3",680.43,264.938333333333,0.610631022539668,0.949753694755712,415.491666666667,0.389368977460331,0.357063809373513,0.338171057404996,403.740361980317,0.868510531092447,0.389368977460331,472.684166666667,424.584491179318,381.379370968282,433.876307547283,0.610631022539669,27.9984091762769,0.947088583405677,0.338171057404995
"4",718.058888888889,312.455,0.564861594452946,0.975755207416292,405.603888888889,0.435138405547054,0.421103172025444,0.445702616596665,439.695078655757,1.02427781808027,0.435138405547054,515.256944444444,473.667700110297,435.435354238042,553.153202604621,0.564861594452946,27.3321092952532,1.05841666889589,0.445702616596665
"5",772.302222222222,313.452222222222,0.594132694166935,1.02870706431545,458.85,0.405867305833065,0.422447152569817,0.41704768102272,516.68491065034,1.02754687315034,0.405867305833065,542.877222222222,492.016105206645,445.920067877931,527.57948737652,0.594132694166935,30.9201629808892,0.98721858695401,0.41704768102272
"6",744.265555555556,320.655555555556,0.569165127739651,1.00232526082052,423.61,0.430834872260349,0.432155259387833,0.452876625627136,473.614807450428,1.05116056007989,0.430834872260349,532.460555555556,488.521120523495,448.20763286123,563.378780476218,0.569165127739651,28.5454729003694,1.04794889287858,0.452876625627136
"7",678.526666666667,257.03,0.621193959461185,0.950427235258331,421.496666666667,0.378806040538815,0.346405556978445,0.319176568213575,402.851733202407,0.842585740606399,0.378806040538814,467.778333333333,417.614306667448,372.829814263879,413.767706664347,0.621193959461185,28.4030633741634,0.921395635213311,0.319176568213575
"8",667.325555555556,288.223333333333,0.568091869202605,0.928930998427239,379.102222222222,0.431908130797395,0.388445567900701,0.408085163116955,380.509496854981,0.944842511678449,0.431908130797395,477.774444444444,438.564471931711,402.572381753051,507.35338588439,0.568091869202605,25.5462623897317,1.05055945244116,0.408085163116955
"9",825.945555555556,318.271666666667,0.614657813065429,1.07635000443756,507.673888888889,0.385342186934571,0.428942434587887,0.402045147800917,595.710493257958,1.04334578832185,0.385342186934571,572.108611111111,512.713437060696,459.484551424692,517.803011531535,0.614657813065429,34.2102198661574,0.937293947583406,0.402045147800917
"10",777.64,360.794444444444,0.536039241237019,1.04338825251416,416.845555555556,0.463960758762981,0.486251412218442,0.548746016391005,505.324221566822,1.18274230315098,0.463960758762981,569.217222222222,529.686880881316,492.901797107334,673.074686867772,0.536039241237019,28.0896426188016,1.12852323428212,0.548746016391005
"11",795.74,314.613888888889,0.604627279150365,1.04972338965305,481.126111111111,0.395372720849635,0.424012758875268,0.40776963393398,550.946198798496,1.03135500359687,0.395372720849635,555.176944444444,500.350732930856,450.938855530044,520.343523585292,0.604627279150365,32.4212657075667,0.961691895818481,0.40776963393398
"12",845.052222222222,267.000555555556,0.684042537805027,1.06855452957202,578.051666666667,0.315957462194973,0.359843116215136,0.276548349455065,628.405876938241,0.875270827705318,0.315957462194973,556.026388888889,475.004645037067,405.789036843497,390.327415035202,0.684042537805027,38.9527116589474,0.768524773695346,0.276548349455065
"13",672.638888888889,337.081666666667,0.498866818087962,0.91416627308525,335.557222222222,0.501133181912038,0.454293127218181,0.553756174129087,365.679712542605,1.10500799810595,0.501133181912038,504.860277777778,476.166187093835,449.102945332693,675.69470336516,0.498866818087962,22.6119298257068,1.21894024133704,0.553756174129087
"14",800.238888888889,320.41,0.599607061780163,1.05531982625362,479.828888888889,0.400392938219837,0.431824318217575,0.42055496062206,556.06424769931,1.0503555894164,0.400392938219837,560.324444444444,506.364041366376,457.600136726341,534.366621781839,0.599607061780163,32.3338508170065,0.97390291116065,0.42055496062206
"15",776.164444444444,300.273333333333,0.61313181055561,1.02992949050296,475.891111111111,0.38686818944439,0.404685644785074,0.380811517483545,525.797565861943,0.984344352608718,0.38686818944439,538.218888888889,482.76441972058,433.023607605607,489.736999718267,0.61313181055561,32.0684988922568,0.941005747030618,0.380811517483545
"16",691.353333333333,318.158333333333,0.539803573667107,0.945017214479978,373.195,0.460196426332893,0.428789692509306,0.479973028773973,400.57442893803,1.04297426340024,0.460196426332893,504.755833333333,468.99874656312,435.774704821528,589.396493194651,0.539803573667107,25.1481970658232,1.1193669930943,0.479973028773973
"17",625.097777777778,260.953888888889,0.582539087218355,0.898555584506716,364.143888888889,0.417460912781645,0.351693877081456,0.357116470456889,336.592638793132,0.855448880416934,0.417460912781645,443.025833333333,403.883270323139,368.199061484933,447.95944961385,0.582539087218355,24.538276981452,1.0154185037864,0.357116470456889
"18",819.731111111111,277.196666666667,0.661844398840812,1.05655841873116,542.534444444444,0.338155601159188,0.373584662137629,0.307280412964729,591.878753337701,0.908695322246269,0.338155601159188,548.463888888889,476.683051474418,414.296613079291,418.824526055011,0.661844398840812,36.5593406232286,0.82251881328984,0.307280412964729
